app_name,category,reviewer_ratings,review_body
American Cancer Society FUNdraising,Lifestyle,1, Will not log on no matter which method I use. Tried Facebook Google and typing in my email and password. Nothing ever happens just keeps loading.
American Cancer Society FUNdraising,Lifestyle,1, The app downloads but will not log-in no matter what I try.  The app just spins and spins and spins.  The app does NOT WORK with Android 7.1.1.  Forget it.  App stinks.
American Cancer Society FUNdraising,Lifestyle,1, Can't even log in on the app! Very inconvenient when I have my phone with me all the time. Can't take my donations! It sucks!!
American Cancer Society FUNdraising,Lifestyle,1, I've downloaded the app three times.  App won't let me login for any reason.
American Cancer Society FUNdraising,Lifestyle,3, I love it when it works but now I have an Honor 8 it will not get past the login screen.  Just loads forever after entering my credentials.
American Cancer Society FUNdraising,Lifestyle,1, It has crashed with logging in with Facebook.
American Cancer Society FUNdraising,Lifestyle,4, Works great! Paypal donations have been perfect and I can see all our teams progress.
American Cancer Society FUNdraising,Lifestyle,1, Literally won't even load past the log in screen...
American Cancer Society FUNdraising,Lifestyle,1, The app was so much easier last year. There is no where to enter cash amounts.
American Cancer Society FUNdraising,Lifestyle,1, It said that I wasn't registered when I actually am
American Cancer Society FUNdraising,Lifestyle,2,Terrible Does not show donations. Does not show team. Won't take check scans. I am deleting it now.
American Cancer Society FUNdraising,Lifestyle,2," Says I'm not registered, when my team is, won't let me log in"
American Cancer Society FUNdraising,Lifestyle,5,Great app A great app for fundraising
American Cancer Society FUNdraising,Lifestyle,3, I am not able to access my team page. It kept saying failed to fetch team page even after I've rebooted my phone. Please fix. Thanks
American Cancer Society FUNdraising,Lifestyle,1, This app does not work
American Cancer Society FUNdraising,Lifestyle,2,"Can't accept checks It took about 20 attempts to photograph a check and it was approved on Friday and now I've woken up to an email saying the download didn't work!!! Very frustrating!!! Told me to get the latest version of the ap, which I have 😕"
American Cancer Society FUNdraising,Lifestyle,1,Worthless for checks Cannot get it to take a photo of a check to save my life.
American Cancer Society FUNdraising,Lifestyle,2, I can't get a working link thru text to send folks so they can join our team
American Cancer Society FUNdraising,Lifestyle,5,"Convenient FUNdraising On-The-Go Easy to use and SO convenient--Especially with the ability to process credit cards and checks in ""real time.""  With this app, you'll meet or exceed your fundraising goals!! Encourage all your team members to download this app today!!"
American Cancer Society FUNdraising,Lifestyle,4,Team Alverson Very easy to use and I'd love to be able to keep track my team's progress and get credit cards processed and checks processed quickly.
American Cancer Society FUNdraising,Lifestyle,2,Loved it till.... I download relay for life awhile ago and everything worked fine. Then I upgraded to this version and had login issues as well as issues with sending messages and asking for donations. It does not give me any options to select from when I click send message. No email no text no Facebook etc. I hope t...Full ReviewI download relay for life awhile ago and everything worked fine. Then I upgraded to this version and had login issues as well as issues with sending messages and asking for donations. It does not give me any options to select from when I click send message. No email no text no Facebook etc. I hope they fix this issue so I can love this app as much as previous one.
American Cancer Society FUNdraising,Lifestyle,5,I love this App! I absolutely love being able to enter checks immediately when I get them and see my fundraising total go up immediately!  It is so easy to use. I also like being able to send text messages to my contact list on on my phone to ask for donations. Makes it so easy. Thank you for this great tool!
American Cancer Society FUNdraising,Lifestyle,5, Upgraded version resolved a bug I was experiencing.  Thanks ACS.    The new FUNdraising app is great b/c now I don't need two separate apps to help fundraise and track funds.  I like the new look and feel and it seems to be much faster than previous versions.  I wish it allowed payment via Android P...Full ReviewUpgraded version resolved a bug I was experiencing.  Thanks ACS.    The new FUNdraising app is great b/c now I don't need two separate apps to help fundraise and track funds.  I like the new look and feel and it seems to be much faster than previous versions.  I wish it allowed payment via Android Pay...
American Cancer Society FUNdraising,Lifestyle,4," I had to reach out for assistance as I was getting an error message when I tried to log in.  Up and running now, thanks Ben!"
American Cancer Society FUNdraising,Lifestyle,3,Asking people to join. Hi like the new app but am disappointed because I'm unable to use the making strides app anymore and can't ask people to join my team like I have in previous years. Can you help?
American Cancer Society FUNdraising,Lifestyle,1,"I can't log in to this app I have tried many of time to log in. I've changed my password more than once, but it just keeps telling me to migrate my account. Which makes no sense, I have tried everything."
American Cancer Society FUNdraising,Lifestyle,5,"Fundraising made easy, bugs fixed! Everyone was raving, so I had to try. Love this app!"
American Cancer Society FUNdraising,Lifestyle,1,Still having log in errors Unable to log in. Changed the password a couple times amd constantly get yhe error tbd or incorrect login info.
American Cancer Society FUNdraising,Lifestyle,5," I love the new ACS FUNdraising app! It is so easy for me to post to my Facebook page and links directly to my fundraising page. For my personal use, it allows me to keep up with my donation activity, the main page shows how close I am to my fundraising goal."
American Cancer Society FUNdraising,Lifestyle,2,Check donations option needs improvement Take many times to get clear picture copy
American Cancer Society FUNdraising,Lifestyle,4," I don't use the app a lot, but it does exactly what I need it to -- it's easy to navigate and fast."
American Cancer Society FUNdraising,Lifestyle,5,Easy to use I love this app.
American Cancer Society FUNdraising,Lifestyle,1,This app is pointless The Relay for Life app actually served a purpose to help me manage teams. This doesn't even let me see how my team is doing or anything. Would rather just load in a browser.
American Cancer Society FUNdraising,Lifestyle,1,"Doesn't work I downloaded this because the Relay for life app directed me to this one. Now neither one works! Extremely disappointed! My relay event is in 2 months and I do most of my fundraising thru the app, now it doesn't work. PLEASE FIX QUICKLY!"
American Cancer Society FUNdraising,Lifestyle,1,Log in It'd be great if I could actually log in. I set my email as my username and it won't let me log in because of that. I can't log in with my Google account or my Facebook. I tried resetting my password and it won't accept it. I deleted the other app so now I can't even keep track of how my team is doi...Full ReviewIt'd be great if I could actually log in. I set my email as my username and it won't let me log in because of that. I can't log in with my Google account or my Facebook. I tried resetting my password and it won't accept it. I deleted the other app so now I can't even keep track of how my team is doing. Very annoying!
American Cancer Society FUNdraising,Lifestyle,1,"Can't log in! I can see that I am not the only one having this issue. Anyone who had an account with the Relay for Life app is unable to log in to this new app. We are missing out on valuable fundraising opportunities because no one is fixing this. What does migrate my account mean? It keeps telling me to do this...Full ReviewI can see that I am not the only one having this issue. Anyone who had an account with the Relay for Life app is unable to log in to this new app. We are missing out on valuable fundraising opportunities because no one is fixing this. What does migrate my account mean? It keeps telling me to do this, which makes no sense with no directions."
American Cancer Society FUNdraising,Lifestyle,3,"Easier to use Easier to use than RFL app but it won't let you ask for donations for luminaries. Would like to have email templates from website available. Right now, using app and website to do what I want"
American Cancer Society FUNdraising,Lifestyle,5,Love the updates! I used my new app at a fundraiser yesterday to accept credit cards and checks instantly. My profile was updated immediately with my new fundraising progress and it was so simple to use. Thank you for the fantastic updates! SO MUCH BETTER THAN THE OLD APP!
American Cancer Society FUNdraising,Lifestyle,5," It's great to be able to accept credit cards, checks, and now even Paypal for donations. The new version has added a lot of features and a much nicer interface. Well done!"
American Cancer Society FUNdraising,Lifestyle,1,Does not work. It won't let me login and says I have to login to the browser and migrate my account. I do not see an option to migrate within the browser app. Please fix your problems so that people aren't confused and have problems getting donations.
American Cancer Society FUNdraising,Lifestyle,1,"Login Problems It won't let me login, even after resetting my password!"
